Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
21120,3/22/2023,173,255,8,2,0,4.94999980926514,0.319999992847443,0.129999995231628
21121,2/28/2023,1055,362,23,0,0.009999999776483,5.15000009536743,0.75,0
21121,3/1/2023,987,431,3,19,0,6.96000003814697,0.140000000596046,1.55999994277954
21121,3/2/2023,979,429,28,4,0,6.03999996185303,0.9200000166893,0.170000001788139
21121,3/3/2023,1251,189,0,0,0,2.75,0,0
21121,3/4/2023,1440,0,0,0,0,0,0,0
21121,3/5/2023,1440,0,0,0,0,0,0,0
21121,3/6/2023,1108,314,14,4,0,5.19000005722046,0.219999998807907,0.050000000745058
21121,3/7/2023,1030,410,0,0,0,6.19000005722046,0,0
21121,3/8/2023,1035,405,0,0,0,6.73999977111816,0,0
21121,3/9/2023,920,386,24,33,0,5.48999977111816,0.370000004768372,0.649999976158142
21121,3/10/2023,1440,0,0,0,0,0,0,0
21121,3/11/2023,1440,0,0,0,0,0,0,0
21121,3/12/2023,1440,0,0,0,0,0,0,0
21121,3/13/2023,629,426,22,7,0,6.53000020980835,0.28999999165535,0.209999993443489
21121,3/14/2023,1169,253,13,5,0,3.13000011444092,0.25,0.180000007152557
21121,3/15/2023,1013,407,8,12,0,6.48000001907349,0.46000000834465,0.949999988079071
21121,3/16/2023,1035,386,16,3,0,6.03000020980835,0.280000001192093,0.029999999329448
21121,3/17/2023,639,338,4,6,0,4.67999982833862,0.209999993443489,0.449999988079071
21122,2/28/2023,1064,306,9,0,0,4.57000017166138,0.159999996423721,0
21122,3/1/2023,555,420,0,0,0,6.59000015258789,0,0
21122,3/2/2023,1440,0,0,0,0,0,0,0
21122,3/3/2023,994,385,37,24,0,6.11999988555908,1.52999997138977,1.19000005722046
21122,3/4/2023,1440,0,0,0,0,0,0,0
21122,3/5/2023,1440,0,0,0,0,0,0,0
21122,3/6/2023,1054,295,0,0,0,5.21999979019165,0,0
21122,3/7/2023,982,317,0,0,0,5.01000022888184,0,0
21122,3/8/2023,1347,93,0,0,0,1.71000003814697,0,0
21122,3/9/2023,1440,0,0,0,0,0,0,0
21122,3/10/2023,1180,260,0,0,0,4.13000011444092,0,0
21122,3/11/2023,1420,20,0,0,0,0.180000007152557,0,0
21122,3/12/2023,1256,184,0,0,0,4.57999992370605,0,0
21122,3/13/2023,1131,309,0,0,0,4.51000022888184,0,0
21122,3/14/2023,1127,298,6,9,0,4.73000001907349,0.360000014305115,0.75
21122,3/15/2023,1437,3,0,0,0,0,0,0
21122,3/16/2023,1440,0,0,0,0,0,0,0
21122,3/17/2023,1440,0,0,0,0,0,0,0
