Id,ActivityDay,Calories
22202,3/3/2023,2722
22202,3/4/2023,2788
22202,3/5/2023,2789
22202,3/6/2023,2536
22202,3/7/2023,2515
22202,3/8/2023,2514
22202,3/9/2023,2353
22202,3/10/2023,2278
22202,3/11/2023,2312
22202,3/12/2023,2517
22202,3/13/2023,2415
22202,3/14/2023,2254
22202,3/15/2023,2392
22202,3/16/2023,2325
22202,3/17/2023,2989
22202,3/18/2023,1702
22202,3/19/2023,1618
22202,3/20/2023,2240
22202,3/21/2023,2396
22202,3/22/2023,1312
22203,2/25/2023,566
22204,2/25/2023,2748
22204,2/26/2023,2619
22204,2/27/2023,3077
22204,2/28/2023,2888
22204,3/1/2023,2867
22204,3/2/2023,2943
22204,3/3/2023,2708
22204,3/4/2023,3248
22204,3/5/2023,2930
22204,3/6/2023,2633
22204,3/7/2023,2892
22204,3/8/2023,1983
22204,3/9/2023,1958
22204,3/10/2023,1949
22204,3/11/2023,2262
22204,3/12/2023,2798
22204,3/13/2023,2668
22204,3/14/2023,2541
22204,3/15/2023,2788
22204,3/16/2023,2785
22204,3/17/2023,1942
22204,3/18/2023,1935
22204,3/19/2023,2478
22204,3/20/2023,2497
22204,3/21/2023,2650
22204,3/22/2023,1714
22210,2/25/2023,2801
22210,2/26/2023,3478
22210,2/27/2023,3216
22210,2/28/2023,2827
22210,3/1/2023,3708
22210,3/2/2023,3366
22210,3/3/2023,3603
22210,3/4/2023,3211
22210,3/5/2023,2777
22210,3/6/2023,3246
22210,3/7/2023,2728
22210,3/8/2023,2641
22210,3/9/2023,3167
22210,3/10/2023,2865
22210,3/11/2023,2972
22210,3/12/2023,2655
22210,3/13/2023,3119
22210,3/14/2023,3381
22210,3/15/2023,3014
22210,3/16/2023,2983
22210,3/17/2023,2891
22210,3/18/2023,2846
22210,3/19/2023,2613
22210,3/20/2023,2676
22210,3/21/2023,2493
22210,3/22/2023,1419
22211,2/25/2023,1308
22211,2/26/2023,1288
22211,2/27/2023,1275
22211,2/28/2023,1267
22211,3/1/2023,1261
22211,3/2/2023,1256
22211,3/3/2023,1253
22211,3/4/2023,1250
22211,3/5/2023,1248
22211,3/6/2023,1246
22211,3/7/2023,2005
22211,3/8/2023,1962
22211,3/9/2023,1996
22211,3/10/2023,1888
22211,3/11/2023,1879
22211,3/12/2023,1233
22211,3/13/2023,1810
22211,3/14/2023,1910
22211,3/15/2023,1598
22211,3/16/2023,1696
22211,3/17/2023,1568
22211,3/18/2023,1582
22211,3/19/2023,1627
22211,3/20/2023,509
22212,2/25/2023,2314
22212,2/26/2023,2394
22212,2/27/2023,2719
22212,2/28/2023,2341
22212,3/1/2023,2400
22212,3/2/2023,2578
22212,3/3/2023,2897
22212,3/4/2023,2532
22212,3/5/2023,2642
22212,3/6/2023,2467
22212,3/7/2023,2576
22212,3/8/2023,2510
22212,3/9/2023,2709
22212,3/10/2023,2516
22212,3/11/2023,2475
22212,3/12/2023,2743
22212,3/13/2023,2361
22212,3/14/2023,2397
22212,3/15/2023,2265
22212,3/16/2023,2406
22212,3/17/2023,2288
22212,3/18/2023,2308
22212,3/19/2023,1859
22212,3/20/2023,2695
22212,3/21/2023,2299
22212,3/22/2023,0
22213,2/25/2023,1509
22213,2/26/2023,1552
22213,2/27/2023,1880
22213,2/28/2023,1708
22213,3/1/2023,2016
22213,3/2/2023,1727
22213,3/3/2023,1842
22213,3/4/2023,2020
22213,3/5/2023,1680
22213,3/6/2023,1684
22213,3/7/2023,1641
22213,3/8/2023,1763
22213,3/9/2023,1752
22213,3/10/2023,1961
22213,3/11/2023,1818
22213,3/12/2023,1510
22213,3/13/2023,1351
22213,3/14/2023,1676
22213,3/15/2023,1627
22213,3/16/2023,1485
22213,3/17/2023,1587
22213,3/18/2023,1608
22213,3/19/2023,1345
22213,3/20/2023,1562
22213,3/21/2023,1518
22213,3/22/2023,765
22215,2/25/2023,1971
22215,2/26/2023,2581
22215,2/27/2023,2433
22215,2/28/2023,2191
22215,3/1/2023,2155
22215,3/2/2023,2362
22215,3/3/2023,2686
22215,3/4/2023,2919
22215,3/5/2023,2716
22215,3/6/2023,2498
22215,3/7/2023,2896
22215,3/8/2023,2882
22215,3/9/2023,2825
22215,3/10/2023,2718
22215,3/11/2023,2420
22215,3/12/2023,3758
22215,3/13/2023,2825
22215,3/14/2023,2751
22215,3/15/2023,2816
22215,3/16/2023,2657
22215,3/17/2023,2684
22215,3/18/2023,2528
22215,3/19/2023,2920
22215,3/20/2023,3021
22215,3/21/2023,2936
22215,3/22/2023,1322
22216,2/25/2023,2723
22216,2/26/2023,2817
22216,2/27/2023,3162
22216,2/28/2023,3494
22216,3/1/2023,3469
22216,3/2/2023,3097
22216,3/3/2023,2401
